raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect,raga_audio_path
Raga Basant_68,Raga Basant (Eri Eri Gaili Gaili),Manali Bose,0:04:50.666000,https://p.scdn.co/mp3-preview/c1ed2f987a8d1a96dcd5f7abfe3af40d193e7ef1?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Manali Bose\Raga Basant (Eri Eri Gaili Gaili)_Manali Bose.mp3
Raga Basant_69,Raga Basant Mukhari - Aochar,Ayaan Ali Bangash,0:07:39.347000,https://p.scdn.co/mp3-preview/e5f490b3a49c250eafacdacc032ee0b01985f440?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ayaan Ali Bangash\Raga Basant Mukhari - Aochar_Ayaan Ali Bangash.mp3
Raga Basant_70,Khayal - Raga Basant - Teentaal,Chhannulal Mishra,0:12:09.333000,https://p.scdn.co/mp3-preview/5f2640afc29d8b3a3ee073da13b2bf5ddc344be2?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Chhannulal Mishra\Khayal - Raga Basant - Teentaal_Chhannulal Mishra.mp3
Raga Basant_71,Raga Basant Mukhari (Jod),Kees Van Boxtel,0:07:02.524000,https://p.scdn.co/mp3-preview/005e5c2f7eae52aa0a064fa2823c186951f4282b?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kees Van Boxtel\Raga Basant Mukhari (Jod)_Kees Van Boxtel.mp3
Raga Basant_72,Raga Basantmukhari - Teentaal,Girish Nalawade,0:36:08.981000,https://p.scdn.co/mp3-preview/0ce38b675a5fe1f7a93673f886677de5e23ae65d?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Girish Nalawade\Raga Basantmukhari - Teentaal_Girish Nalawade.mp3
Raga Basant_73,"Raga Basantmukhari - Jod, Jhala",Pt. Indranil Bhattacharya,0:14:45.933000,https://p.scdn.co/mp3-preview/62f26745abf37a715e237099aca7082986015f77?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Pt. Indranil Bhattacharya\Raga Basantmukhari - Jod, Jhala_Pt. Indranil Bhattacharya.mp3"
Raga Basant_74,Gat Teental Raga Basant Mukhari,Ranajit Sengupta,0:31:15.735000,https://p.scdn.co/mp3-preview/31851ab5919f8de570f4bb73344007e0beef8ad0?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ranajit Sengupta\Gat Teental Raga Basant Mukhari_Ranajit Sengupta.mp3
Raga Basant_75,Passion (Raga Basant Bahaar),Anuradha Pal,0:07:26.370000,https://p.scdn.co/mp3-preview/ebfdbf39f3b38c98c1ac522bdf50262151de3e8e?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Anuradha Pal\Passion (Raga Basant Bahaar)_Anuradha Pal.mp3
Raga Basant_76,Raga Basant Mukhari (Alap),Kees Van Boxtel,0:07:52.647000,https://p.scdn.co/mp3-preview/5e17a180b463b22c37518d09a6c6959cdb246a2c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Kees Van Boxtel\Raga Basant Mukhari (Alap)_Kees Van Boxtel.mp3
Raga Basant_77,Raga Basanti Kedar - Khayal Vilambit In Teentaal,"Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar",0:15:02.760000,https://p.scdn.co/mp3-preview/a594270f407ce7c213311b25b72ed30cb55181ee?cid=883d8de3b4fb48e9ab32028467324d90,,"audio/Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar\Raga Basanti Kedar - Khayal Vilambit In Teentaal_Mallikarjun Mansur, Balkrishna Iyer, Tulsidas Borkar.mp3"
