raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Yaman_64,Yaman,Bapu Padmanabha,02:19.8,https://p.scdn.co/mp3-preview/d02bb0dbfe4f9cf2d5e72d917e4f2dcdceacb6b6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_65,Raga Yaman,Yogi Hari,22:49.0,https://p.scdn.co/mp3-preview/644c5171680af140f44f0f78e55b3c59cbd56acb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_66,Raga Yaman,Herrin,07:58.1,https://p.scdn.co/mp3-preview/4ca06e4baa5fc225f686520b39658e75a6ef7886?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_67,Raga Yaman,Sandhya Mukherjee,19:37.4,https://p.scdn.co/mp3-preview/2375ec0ae4a4f5ad6047d16afaaf2743e2d30edf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_68,Raga Yaman - Dhrupad,Gundecha Brothers,46:30.8,https://p.scdn.co/mp3-preview/1cc9ee1b3eedae173189d56b29abdb8d07f580f7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_69,Raga Yaman,Vinayak M. Phatak,10:08.4,https://p.scdn.co/mp3-preview/01ee2ae9690f6e0b13e0c1c2de594b1cf38d1ac8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_70,Raga Yaman,Pandit Ramanarain,13:16.2,https://p.scdn.co/mp3-preview/55d97f5fd36718392aaba8fbd1ea8fbbe4ae2eb1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_71,"Raga Yaman - Alap, Jod, Jhala and Gat in Vilambit Teen Taal",Vishwa Mohan Bhatt,40:59.1,https://p.scdn.co/mp3-preview/47476b819085d8cd57336bd4ab05e1f23b817abf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_72,Raga Yaman,Sadakat Aman Khan,07:02.8,https://p.scdn.co/mp3-preview/8818d8e7a71f19d01dde87e939d4c641e5f8d26c?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_73,Raga Yaman,Amla Ruia,04:02.7,https://p.scdn.co/mp3-preview/39fc6af43a74247ea1089f84152c4acd442db1d2?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_74,Raga Yaman: Djor,Khaled Arman,07:18.5,https://p.scdn.co/mp3-preview/9a831487f31c1918d8d31b6666e10ed0e874fb92?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_75,Raga Yaman,Roshan Jamal Bhartiya,27:26.5,https://p.scdn.co/mp3-preview/6cae4fdb943f3c8dc359e224ad57f4fd972ce1a9?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_76,Tarana In Raga Yaman,Rashid Khan,09:58.2,https://p.scdn.co/mp3-preview/c6bcc072c445c5a250803956a0d78b34e6228204?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_77,Raga Yaman,Ram Ashreya Jha,16:03.7,https://p.scdn.co/mp3-preview/65207891d9eb3b38b43fded6a52bfcba87cd28b7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_78,Raga Yaman Kalyan - Jhala & Chautala (12 Beats),Zia Mohiuddin Dagar,10:06.5,https://p.scdn.co/mp3-preview/64bdd65de6fd8aed94f92afb47392cc7c4f4f73b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_79,Raga Yaman,Rattan Mohan Sharma,39:46.8,https://p.scdn.co/mp3-preview/1114e258e643f48e729573e465015d119a2a92e8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_80,Yaman Alap,Bapu Padmanabha,01:55.5,https://p.scdn.co/mp3-preview/2ba4ff5386b4db2781a0bab6d58d36b837acaf22?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_81,Raga Yaman - Chautal,Gundecha Brothers,10:16.7,https://p.scdn.co/mp3-preview/38c79a458d8f3b957256c6b0b22c64d62a82ede1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_82,Raga Yaman,Michał Rudaś,14:53.7,https://p.scdn.co/mp3-preview/7c4d3f995bdd792129f5d222e3aed1ab35ab0374?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_83,Raga Yaman Kalyan,Ulhas Kashalkar,10:46.1,https://p.scdn.co/mp3-preview/df187821dcc5edfc80073a8d55fdf1681d089cc8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_84,Raga Yaman,Xavi Ganjam,09:43.2,https://p.scdn.co/mp3-preview/bcc901c269d16357d55b88a5a43a4e59c78347cf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_85,Raga Yaman,Dhrubesh Regmi,32:15.6,https://p.scdn.co/mp3-preview/ce5f4faa85ec9d32cf16e3e1fd93e328eee641e6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_86,Raga Yaman Kalyan - Jod,Zia Mohiuddin Dagar,27:41.2,https://p.scdn.co/mp3-preview/8dc9da8207a61047f6eb97837b3af25ffcc0b2d4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_87,Raga Yaman,Mir Saheb,10:28.9,https://p.scdn.co/mp3-preview/11d0deaf57919b77af460113ad1ea4c7406fe9c1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_88,Sitar Yaman,Bapu Padmanabha,02:09.3,https://p.scdn.co/mp3-preview/f9ce35587deaf6093f7d8fced63d157e72928744?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_89,Raga Abhogi,Sangit Om,03:32.4,https://p.scdn.co/mp3-preview/e29e7e6e7e96545008ac2638780530fa30c376ea?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_90,Raga Yaman,Shubha Mudgal,33:02.9,https://p.scdn.co/mp3-preview/0b13aaebc1c9879fac9d1d648b616c1e5640e970?cid=883d8de3b4fb48e9ab32028467324d90,
